ComplexId,ProteinId,Stoichiometry,Evidence
CPX-1222,Q969G3,0,ECO:0005547
CPX-1222,Q96GM5,0,ECO:0005547
CPX-1223,O96019,0,ECO:0005547
CPX-1223,P51531,0,ECO:0005547
CPX-1223,P60709,0,ECO:0005547
CPX-1223,Q12824,0,ECO:0005547
CPX-1223,Q6STE5,0,ECO:0005547
CPX-1223,Q8NFD5,0,ECO:0005547
CPX-1223,Q8TAQ2,0,ECO:0005547
CPX-1223,Q92784,0,ECO:0005547
CPX-1223,Q92922,0,ECO:0005547
CPX-1223,Q92925,0,ECO:0005547
CPX-1223,Q969G3,0,ECO:0005547
CPX-1223,Q96GM5,0,ECO:0005547
