gene,essential_category,database,Protein
CLDN34,Non-essential,D,H7C241
CCDC188,Non-essential,D,H7C350
TRIM77,Cancer,O,I1YAP6
C19orf84,Non-essential,D,I3L1E1
GFY,Non-essential,D,I3L273
CCER2,Non-essential,D,I3L3R5
GOLGA8R,Non-essential,D,I6L899
SMIM22,Non-essential,D,K7EJ46
ASDURF,Non-essential,D,L0R819
RNF225,Non-essential,D,M0QZC1
DCDC1,Non-essential,D,M0R2J8
ERVH48-1,Non-essential,D,M5A8F1
OVOL3,Non-essential,D,O00110
DNASE2,Non-essential,D,O00115
AGPS,Cancer,O,O00116
UBXN8,Non-essential,D,O00124
KIF2A,Non-essential,D,O00139
SGK1,Non-essential,D,O00141
TK2,Non-essential,D,O00142
FZD9,Cancer,O,O00144
DDX39A,Non-essential,D,O00148
PDLIM1,Non-essential,D,O00151
ACOT7,Non-essential,D,O00154
GPR25,Cancer,O,O00155
MYO1C,Non-essential,D,O00159
MYO1F,Non-essential,D,O00160
SNAP23,Non-essential,D,O00161
HAX1,Non-essential,D,O00165
EYA2,Non-essential,D,O00167
FXYD1,Non-essential,D,O00168
AIP,Non-essential,D,O00170
CCL24,Non-essential,D,O00175
GTPBP1,Non-essential,D,O00178
KCNK1,Non-essential,D,O00180
LGALS9,Non-essential,D,O00182
STXBP3,Non-essential,D,O00186
MASP2,Non-essential,D,O00187
AP4M1,Non-essential,D,O00189
ARVCF,Non-essential,D,O00192
C11orf58,Non-essential,D,O00193
RAB27B,Non-essential,D,O00194
HRK,Non-essential,D,O00198
AP3B1,Non-essential,D,O00203
SULT2B1,Non-essential,D,O00204
TLR4,Non-essential,D,O00206
RHOD,Non-essential,D,O00212
APBB1,Non-essential,D,O00213
LGALS8,Non-essential,D,O00214
NDUFS8,Non-essential,D,O00217
HAS3,Non-essential,D,O00219
TNFRSF10A,Non-essential,D,O00220
NFKBIE,Non-essential,D,O00221
GRM8,Non-essential,D,O00222
CORT,Non-essential,D,O00230
PSMD11,Core,B,O00231
PSMD12,Core,B,O00232
PSMD9,Non-essential,D,O00233
RNF103,Non-essential,D,O00237
BMPR1B,Non-essential,D,O00238
SIRPB1,Cancer,O,O00241
ATOX1,Cancer,O,O00244
AGRP,Non-essential,D,O00253
F2RL2,Non-essential,D,O00254
MEN1,Non-essential,D,O00255
CBX4,Non-essential,D,O00257
GET1,Non-essential,D,O00258
PGRMC1,Non-essential,D,O00264
SUPT5H,Core,D,O00267
TAF4,Non-essential,D,O00268
GPR31,Non-essential,D,O00270
DFFA,Non-essential,D,O00273
RFXAP,Cancer,O,O00287
HIP1,Non-essential,D,O00291
LEFTY2,Non-essential,D,O00292
TULP1,Cancer,O,O00294
TULP2,Non-essential,D,O00295
CLIC1,Non-essential,D,O00299
TNFRSF11B,Non-essential,D,O00300
EIF3F,Core,B,O00303
CACNB4,Non-essential,D,O00305
WWP2,Non-essential,D,O00308
CDC7,Core,B,O00311
ETV2,Non-essential,D,O00321
UPK1A,Non-essential,D,O00322
BMAL1,Non-essential,D,O00327
PIK3CD,Non-essential,D,O00329
PDHX,Non-essential,D,O00330
SLC28A1,Cancer,O,O00337
SULT1C2,Non-essential,D,O00338
MATN2,Cancer,O,O00339
SLC1A7,Non-essential,D,O00341
FOXE1,Non-essential,D,O00358
QSOX1,Non-essential,D,O00391
P2RY10,Non-essential,D,O00398
DCTN6,Core,D,O00399
SLC33A1,Non-essential,D,O00400
WASL,Non-essential,D,O00401
PDE2A,Non-essential,D,O00408
FOXN3,Non-essential,D,O00409
IPO5,Non-essential,D,O00410
POLRMT,Non-essential,D,O00411
EEF2K,Non-essential,D,O00418
CCRL2,Non-essential,D,O00421
SAP18,Core,D,O00422
EML1,Cancer,O,O00423
IGF2BP3,Non-essential,D,O00425
DNM1L,Non-essential,D,O00429
RTCA,Non-essential,D,O00442
PIK3C2A,Cancer,O,O00443
PLK4,Core,B,O00444
SYT5,Non-essential,D,O00445
GFRA2,Non-essential,D,O00451
LST1,Cancer,O,O00453
IFRD1,Cancer,O,O00458
PIK3R2,Cancer,O,O00459
GOLIM4,Non-essential,D,O00461
MANBA,Non-essential,D,O00462
TRAF5,Non-essential,D,O00463
AGRN,Cancer,O,O00468
PLOD2,Non-essential,D,O00469
MEIS1,Non-essential,D,O00470
EXOC5,Non-essential,D,O00471
ELL2,Non-essential,D,O00472
SLC17A3,Cancer,O,O00476
BTN3A3,Non-essential,D,O00478
HMGN4,Cancer,O,O00479
BTN3A1,Non-essential,D,O00481
NR5A2,Non-essential,D,O00482
PSMD14,Core,B,O00487
ZNF593,Non-essential,D,O00488
BIN1,Non-essential,D,O00499
CLDN5,Non-essential,D,O00501
KPNA3,Non-essential,D,O00505
STK25,Non-essential,D,O00506
USP9Y,Non-essential,D,O00507
BCL9,Non-essential,D,O00512
LAD1,Cancer,O,O00515
FAAH,Non-essential,D,O00519
KRIT1,Cancer,O,O00522
UPK2,Non-essential,D,O00526
CHL1,Non-essential,D,O00533
VWA5A,Non-essential,D,O00534
PES1,Core,B,O00541
DLL1,Non-essential,D,O00548
CACNA1A,Non-essential,D,O00555
EBAG9,Non-essential,D,O00559
SDCBP,Non-essential,D,O00560
PITPNM1,Non-essential,D,O00562
MPHOSPH10,Core,B,O00566
NOP56,Core,D,O00567
SOX1,Non-essential,D,O00570
DDX3X,Non-essential,D,O00571
CXCR6,Non-essential,D,O00574
RNASET2,Non-essential,D,O00584
CCL21,Non-essential,D,O00585
MFNG,Non-essential,D,O00587
ACKR2,Cancer,O,O00590
GABRP,Non-essential,D,O00591
PODXL,Non-essential,D,O00592
FCN1,Non-essential,D,O00602
CCN1,Non-essential,D,O00622
PEX12,Non-essential,D,O00623
SLC17A2,Non-essential,D,O00624
PIR,Non-essential,D,O00625
CCL22,Non-essential,D,O00626
PEX7,Non-essential,D,O00628
KPNA4,Non-essential,D,O00629
SLN,Non-essential,D,O00631
NTN3,Non-essential,D,O00634
TRIM38,Non-essential,D,O00635
NFIB,Non-essential,D,O00712
E2F3,Non-essential,D,O00716
PPP6C,Non-essential,D,O00743
WNT10B,Non-essential,D,O00744
NME4,Cancer,O,O00746
CES2,Non-essential,D,O00748
PIK3C2B,Cancer,O,O00750
MAN2B1,Cancer,O,O00754
WNT7A,Non-essential,D,O00755
FBP2,Non-essential,D,O00757
UBE2C,Non-essential,D,O00762
ACACB,Cancer,O,O00763
PDXK,Non-essential,D,O00764
SCD,Non-essential,D,O00767
DLGAP1,Non-essential,D,O14490
SH2B2,Non-essential,D,O14492
CLDN4,Non-essential,D,O14493
PLPP1,Non-essential,D,O14494
PLPP3,Non-essential,D,O14495
ARID1A,Non-essential,D,O14497
ISLR,Non-essential,D,O14498
BHLHE40,Non-essential,D,O14503
SOCS2,Non-essential,D,O14508
NRG2,Non-essential,D,O14511
SOCS7,Non-essential,D,O14512
NCKAP5,Non-essential,D,O14513
ADGRB1,Non-essential,D,O14514
CDK2AP1,Non-essential,D,O14519
AQP7,Non-essential,D,O14520
SDHD,Non-essential,D,O14521
PTPRT,Non-essential,D,O14522
C2CD2L,Non-essential,D,O14523
NEMP1,Non-essential,D,O14524
ASTN1,Non-essential,D,O14525
FCHO1,Non-essential,D,O14526
CUX2,Non-essential,D,O14529
TXNDC9,Non-essential,D,O14530
DPYSL4,Non-essential,D,O14531
SOCS3,Non-essential,D,O14543
SOCS6,Non-essential,D,O14544
TRAFD1,Cancer,O,O14545
COX7A2L,Non-essential,D,O14548
GAPDHS,Non-essential,D,O14556
HSPB6,Non-essential,D,O14558
ARHGAP33,Non-essential,D,O14559
NDUFAB1,Non-essential,D,O14561
UBFD1,Cancer,O,O14562
CYB561D2,Non-essential,D,O14569
DYNC1I1,Non-essential,D,O14576
CIT,Non-essential,D,O14578
COPE,Core,B,O14579
OR7A17,Non-essential,D,O14581
RFXANK,Non-essential,D,O14593
NCAN,Non-essential,D,O14594
CTDSP2,Cancer,O,O14595
BPY2,Cancer,O,O14599
EIF1AY,Non-essential,D,O14602
TMSB4Y,Non-essential,D,O14604
UTY,Cancer,O,O14607
GNGT2,Non-essential,D,O14610
CDC42EP2,Non-essential,D,O14613
AP3D1,Non-essential,D,O14617
CCS,Non-essential,D,O14618
CXCL11,Non-essential,D,O14625
GPR171,Non-essential,D,O14626
CDX4,Non-essential,D,O14627
ZNF195,Non-essential,D,O14628
LCE2B,Non-essential,D,O14633
ENPP3,Non-essential,D,O14638
ABLIM1,Cancer,O,O14639
DVL1,Non-essential,D,O14640
DVL2,Non-essential,D,O14641
DNALI1,Non-essential,D,O14645
CHD1,Non-essential,D,O14646
CHD2,Non-essential,D,O14647
KCNK3,Non-essential,D,O14649
GOSR2,Core,D,O14653
IRS4,Cancer,O,O14654
TOR1A,Non-essential,D,O14656
TOR1B,Non-essential,D,O14657
STX16,Non-essential,D,O14662
PRRG1,Non-essential,D,O14668
PRRG2,Non-essential,D,O14669
ADAM10,Cancer,O,O14672
ABCD4,Non-essential,D,O14678
EI24,Non-essential,D,O14681
ENC1,Cancer,O,O14682
TP53I11,Non-essential,D,O14683
PTGES,Non-essential,D,O14684
KMT2D,Non-essential,D,O14686
ITGB1BP1,Non-essential,D,O14713
TRDMT1,Non-essential,D,O14717
RRH,Non-essential,D,O14718
APAF1,Non-essential,D,O14727
RIOK3,Cancer,O,O14730
IMPA2,Non-essential,D,O14732
MAP2K7,Non-essential,D,O14733
ACOT8,Non-essential,D,O14734
CDIPT,Core,D,O14735
PDCD5,Non-essential,D,O14737
PRMT5,Core,D,O14744
NHERF1,Non-essential,D,O14745
TERT,Non-essential,D,O14746
OVOL1,Cancer,O,O14753
HSD17B6,Non-essential,D,O14756
CHEK1,Core,B,O14757
TNFRSF10B,Non-essential,D,O14763
GABRD,Non-essential,D,O14764
MEIS2,Non-essential,D,O14770
ZNF213,Non-essential,D,O14771
FPGT,Non-essential,D,O14772
TPP1,Non-essential,D,O14773
GNB5,Non-essential,D,O14775
TCERG1,Non-essential,D,O14776
NDC80,Core,B,O14777
KIF3C,Cancer,O,O14782
NRP1,Non-essential,D,O14786
TNPO2,Non-essential,D,O14787
TNFSF11,Non-essential,D,O14788
APOL1,Non-essential,D,O14791
HS3ST1,Non-essential,D,O14792
MSTN,Non-essential,D,O14793
UNC13B,Non-essential,D,O14795
SH2D1B,Non-essential,D,O14796
TNFRSF10C,Non-essential,D,O14798
POLR3A,Core,B,O14802
TAAR5,Non-essential,D,O14804
MRAS,Non-essential,D,O14807
CPLX1,Non-essential,D,O14810
PHOX2A,Non-essential,D,O14813
CAPN9,Cancer,O,O14815
TSPAN4,Non-essential,D,O14817
PSMA7,Core,B,O14818
RASGRF2,Non-essential,D,O14827
SCAMP3,Non-essential,D,O14828
PPEF1,Non-essential,D,O14829
PPEF2,Non-essential,D,O14830
PHYH,Non-essential,D,O14832
TNFRSF13B,Non-essential,D,O14836
OPLAH,Non-essential,D,O14841
FFAR1,Non-essential,D,O14842
AIM2,Non-essential,D,O14862
SLC30A4,Non-essential,D,O14863
BACH1,Non-essential,D,O14867
BCKDK,Non-essential,D,O14874
IFIT3,Non-essential,D,O14879
MGST3,Non-essential,D,O14880
GEMIN2,Non-essential,D,O14893
TM4SF5,Non-essential,D,O14894
IRF6,Non-essential,D,O14896
KLF11,Non-essential,D,O14901
WNT9A,Non-essential,D,O14904
WNT9B,Non-essential,D,O14905
TAX1BP3,Non-essential,D,O14907
GIPC1,Non-essential,D,O14908
LIN7A,Non-essential,D,O14910
PCDH17,Non-essential,D,O14917
IKBKB,Non-essential,D,O14920
RGS13,Non-essential,D,O14921
RGS12,Non-essential,D,O14924
TIMM23,Core,D,O14925
FSCN2,Non-essential,D,O14926
HAT1,Non-essential,D,O14929
NCR3,Non-essential,D,O14931
UBE2L6,Non-essential,D,O14933
CASK,Non-essential,D,O14936
PLD2,Non-essential,D,O14939
EREG,Non-essential,D,O14944
TFEC,Cancer,O,O14948
UQCRQ,Non-essential,D,O14949
MYL12B,Non-essential,D,O14950
UQCR11,Non-essential,D,O14957
CASQ2,Non-essential,D,O14958
LECT2,Non-essential,D,O14960
HGS,Core,D,O14964
AURKA,Core,D,O14965
RAB29,Non-essential,D,O14966
CLGN,Cancer,O,O14967
VPS26C,Non-essential,D,O14972
PPP1R12A,Core,D,O14974
SLC27A2,Non-essential,D,O14975
GAK,Non-essential,D,O14976
AZIN1,Non-essential,D,O14977
ZNF263,Non-essential,D,O14978
HNRNPDL,Non-essential,D,O14979
XPO1,Core,D,O14980
BTAF1,Non-essential,D,O14981
ATP2A1,Non-essential,D,O14983
PIP5K1B,Non-essential,D,O14986
PPP1R2C,Non-essential,D,O14990
SYN3,Non-essential,D,O14994
ARHGEF10,Non-essential,D,O15013
ZNF609,Non-essential,D,O15014
ZNF646,Non-essential,D,O15015
TRIM66,Non-essential,D,O15016
PDZD2,Non-essential,D,O15018
SPTBN2,Non-essential,D,O15020
MAST4,Cancer,O,O15021
SEC16A,Non-essential,D,O15027
PLXNB2,Non-essential,D,O15031
AREL1,Non-essential,D,O15033
RIMBP2,Cancer,O,O15034
KHNYN,Non-essential,D,O15037
TECPR2,Non-essential,D,O15040
SEMA3E,Non-essential,D,O15041
U2SURP,Core,B,O15042
SETD1A,Core,D,O15047
N4BP3,Non-essential,D,O15049
TRANK1,Non-essential,D,O15050
KDM6B,Non-essential,D,O15054
PER2,Non-essential,D,O15055
SYNJ2,Non-essential,D,O15056
ZBTB39,Non-essential,D,O15060
SYNM,Cancer,O,O15061
ZBTB5,Cancer,O,O15062
GARRE1,Non-essential,D,O15063
KIF3B,Non-essential,D,O15066
PFAS,Non-essential,D,O15067
MCF2L,Non-essential,D,O15068
NACAD,Non-essential,D,O15069
ADAMTS3,Cancer,O,O15072
DCLK1,Non-essential,D,O15075
CEP290,Cancer,O,O15078
SNPH,Non-essential,D,O15079
ERC2,Non-essential,D,O15083
ANKRD28,Non-essential,D,O15084
ARHGEF11,Non-essential,D,O15085
ZNF536,Non-essential,D,O15090
PRORP,Non-essential,D,O15091
SMAD7,Non-essential,D,O15105
CHUK,Non-essential,D,O15111
LSM1,Non-essential,D,O15116
FYB1,Non-essential,D,O15117
NPC1,Non-essential,D,O15118
TBX3,Non-essential,D,O15119
AGPAT2,Non-essential,D,O15120
DEGS1,Non-essential,D,O15121
ANGPT2,Non-essential,D,O15123
SCAMP1,Non-essential,D,O15126
SCAMP2,Non-essential,D,O15127
NPFF,Non-essential,D,O15130
KPNA5,Non-essential,D,O15131
ARPC1B,Non-essential,D,O15143
ARPC2,Non-essential,D,O15144
ARPC3,Non-essential,D,O15145
MUSK,Non-essential,D,O15146
MDM4,Non-essential,D,O15151
BET1,Non-essential,D,O15155
ZBTB7B,Non-essential,D,O15156
POLR1C,Core,B,O15160
PLSCR1,Non-essential,D,O15162
TRIM24,Non-essential,D,O15164
LDLRAD4,Non-essential,D,O15165
AXIN1,Non-essential,D,O15169
PGRMC2,Non-essential,D,O15173
TBXT,Non-essential,D,O15178
CETN3,Cancer,O,O15182
CTDSPL,Non-essential,D,O15194
VILL,Non-essential,D,O15195
EPHB6,Cancer,O,O15197
SMAD9,Non-essential,D,O15198
ADAMDEC1,Non-essential,D,O15204
UBD,Non-essential,D,O15205
ZBTB22,Non-essential,D,O15209
RGL2,Non-essential,D,O15211
PFDN6,Core,B,O15212
WDR46,Core,D,O15213
GSTA4,Non-essential,D,O15217
GNPAT,Non-essential,D,O15228
KMO,Non-essential,D,O15229
LAMA5,Non-essential,D,O15230
ZNF185,Non-essential,D,O15231
MATN3,Non-essential,D,O15232
CASC3,Non-essential,D,O15234
MRPS12,Non-essential,D,O15235
NDUFA1,Non-essential,D,O15239
VGF,Non-essential,D,O15240
LEPROT,Non-essential,D,O15243
SLC22A2,Non-essential,D,O15244
SLC22A1,Non-essential,D,O15245
CLIC2,Non-essential,D,O15247
ACOX3,Cancer,O,O15254
RER1,Non-essential,D,O15258
NPHP1,Non-essential,D,O15259
SURF4,Cancer,O,O15260
DEFB4B,Cancer,O,O15263
MAPK13,Non-essential,D,O15264
ATXN7,Non-essential,D,O15265
SHOX,Non-essential,D,O15266
SPTLC1,Non-essential,D,O15269
SPTLC2,Non-essential,D,O15270
TCAP,Cancer,O,O15273
FANCG,Non-essential,D,O15287
OGT,Core,B,O15294
ALOX15B,Non-essential,D,O15296
PPM1D,Non-essential,D,O15297
GRM6,Non-essential,D,O15303
SIVA1,Non-essential,D,O15304
PMM2,Non-essential,D,O15305
RAD51B,Non-essential,D,O15315
POLR3G,Non-essential,D,O15318
TM9SF1,Cancer,O,O15321
INPP4B,Non-essential,D,O15327
CHAD,Non-essential,D,O15335
ATP6V0E1,Non-essential,D,O15342
MID1,Non-essential,D,O15344
HMGB3,Cancer,O,O15347
TP73,Non-essential,D,O15350
FOXN1,Non-essential,D,O15353
GPR37,Non-essential,D,O15354
PPM1G,Non-essential,D,O15355
INPPL1,Non-essential,D,O15357
FANCA,Cancer,O,O15360
SOX12,Non-essential,D,O15370
EIF3D,Core,B,O15371
EIF3H,Core,D,O15372
SLC16A4,Non-essential,D,O15374
SLC16A5,Non-essential,D,O15375
HDAC3,Core,D,O15379
NVL,Core,D,O15381
BCAT2,Non-essential,D,O15382
SIGLEC5,Non-essential,D,O15389
YY2,Non-essential,D,O15391
BIRC5,Core,B,O15392
TMPRSS2,Non-essential,D,O15393
NCAM2,Non-essential,D,O15394
IPO8,Non-essential,D,O15397
GRIN2D,Non-essential,D,O15399
STX7,Non-essential,D,O15400
SLC16A6,Non-essential,D,O15403
TOX3,Non-essential,D,O15405
FOXP2,Non-essential,D,O15409
TNRC18,Non-essential,D,O15417
SLC16A3,Cancer,O,O15427
SLC31A1,Non-essential,D,O15431
SLC31A2,Cancer,O,O15432
ABCC3,Non-essential,D,O15438
ABCC4,Cancer,O,O15439
ABCC5,Non-essential,D,O15440
MPPED1,Non-essential,D,O15442
CCL25,Non-essential,D,O15444
POLR1G,Non-essential,D,O15446
TLR3,Non-essential,D,O15455
MSH4,Non-essential,D,O15457
P4HA2,Non-essential,D,O15460
ST8SIA5,Non-essential,D,O15466
CCL16,Cancer,O,O15467
MAGEB2,Non-essential,D,O15479
MAGEB3,Cancer,O,O15480
MAGEB4,Non-essential,D,O15481
TEX28,Non-essential,D,O15482
CAPN5,Non-essential,D,O15484
GYG2,Non-essential,D,O15488
RGS16,Non-essential,D,O15492
YKT6,Core,D,O15498
GSC2,Non-essential,D,O15499
INSIG1,Non-essential,D,O15503
NUP42,Non-essential,D,O15504
ARPC5,Non-essential,D,O15511
POLR2D,Core,B,O15514
CLOCK,Non-essential,D,O15516
CFLAR,Non-essential,D,O15519
FGF10,Cancer,O,O15520
NKX2-8,Non-essential,D,O15522
DDX3Y,Non-essential,D,O15523
SOCS1,Non-essential,D,O15524
MAFG,Non-essential,D,O15525
OGG1,Non-essential,D,O15527
CYP27B1,Non-essential,D,O15528
PDPK1,Core,D,O15530
TAPBP,Non-essential,D,O15533
PER1,Non-essential,D,O15534
ZSCAN9,Non-essential,D,O15535
RS1,Non-essential,D,O15537
RGS5,Non-essential,D,O15539
FABP7,Non-essential,D,O15540
RNF113A,Core,B,O15541
P2RX6,Non-essential,D,O15547
KDM6A,Cancer,O,O15550
CLDN3,Non-essential,D,O15551
FFAR2,Non-essential,D,O15552
MEFV,Non-essential,D,O15553
KCNN4,Non-essential,D,O15554
DHX15,Core,B,O43143
SGSM2,Non-essential,D,O43147
RNMT,Core,D,O43148
ZZEF1,Non-essential,D,O43149
ASAP2,Non-essential,D,O43150
TET3,Non-essential,D,O43151
FLRT2,Non-essential,D,O43155
TTI1,Core,D,O43156
PLXNB1,Non-essential,D,O43157
RRP8,Non-essential,D,O43159
PJA2,Non-essential,D,O43164
SIPA1L1,Cancer,O,O43166
ZBTB24,Non-essential,D,O43167
CYB5B,Non-essential,D,O43169
PRPF4,Core,D,O43172
ST8SIA3,Cancer,O,O43173
CYP26A1,Non-essential,D,O43174
PHGDH,Non-essential,D,O43175
NDUFS4,Non-essential,D,O43181
ARHGAP6,Non-essential,D,O43182
ADAM12,Non-essential,D,O43184
CRX,Non-essential,D,O43186
IRAK2,Non-essential,D,O43187
PHF1,Non-essential,D,O43189
MLNR,Non-essential,D,O43193
GPR39,Cancer,O,O43194
MSH5,Non-essential,D,O43196
SEPTIN4,Non-essential,D,O43236
DYNC1LI2,Non-essential,D,O43237
KLK10,Non-essential,D,O43240
PSMD3,Core,B,O43242
SLC7A4,Non-essential,D,O43246
CIMIP4,Non-essential,D,O43247
HOXC11,Non-essential,D,O43248
RBFOX2,Non-essential,D,O43251
PAPSS1,Cancer,O,O43252
SIAH2,Non-essential,D,O43255
ZNHIT1,Non-essential,D,O43257
ZW10,Cancer,O,O43264
PRODH,Cancer,O,O43272
SPINT1,Non-essential,D,O43278
TREH,Non-essential,D,O43280
EFS,Non-essential,D,O43281
MAP3K13,Non-essential,D,O43283
B4GALT5,Non-essential,D,O43286
SART1,Core,D,O43290
SPINT2,Cancer,O,O43291
GPAA1,Non-essential,D,O43292
DAPK3,Non-essential,D,O43293
TGFB1I1,Non-essential,D,O43294
SRGAP3,Non-essential,D,O43295
ZNF264,Non-essential,D,O43296
ZBTB43,Non-essential,D,O43298
AP5Z1,Non-essential,D,O43299
LRRTM2,Non-essential,D,O43300
HSPA12A,Non-essential,D,O43301
CCP110,Cancer,O,O43303
SEC14L5,Non-essential,D,O43304
ADCY6,Non-essential,D,O43306
ARHGEF9,Non-essential,D,O43307
ZSCAN12,Non-essential,D,O43309
CTIF,Non-essential,D,O43310
MTSS1,Non-essential,D,O43312
ATMIN,Non-essential,D,O43313
PPIP5K2,Non-essential,D,O43314
AQP9,Non-essential,D,O43315
PAX4,Non-essential,D,O43316
MAP3K7,Non-essential,D,O43318
FGF16,Non-essential,D,O43320
DHH,Non-essential,D,O43323
EEF1E1,Non-essential,D,O43324
LYRM1,Non-essential,D,O43325
ZNF208,Non-essential,D,O43345
MSI1,Cancer,O,O43347
RIPK2,Non-essential,D,O43353
ZNF749,Non-essential,D,O43361
HOXA2,Non-essential,D,O43364
HOXA3,Non-essential,D,O43365
RASA4,Non-essential,D,O43374
WDR62,Non-essential,D,O43379
HNRNPR,Non-essential,D,O43390
PRPF3,Core,D,O43395
TXNL1,Cancer,O,O43396
TPD52L2,Cancer,O,O43399
EMC8,Non-essential,D,O43402
COCH,Non-essential,D,O43405
ERI3,Non-essential,D,O43414
THAP12,Non-essential,D,O43422
GRID2,Non-essential,D,O43424
SYNJ1,Non-essential,D,O43426
FIBP,Non-essential,D,O43427
EIF4G3,Non-essential,D,O43432
TBX1,Non-essential,D,O43435
CBFA2T2,Non-essential,D,O43439
PPIH,Non-essential,D,O43447
KCNAB3,Non-essential,D,O43448
MGAM,Cancer,O,O43451
MBTPS2,Non-essential,D,O43462
SUV39H1,Non-essential,D,O43463
HTRA2,Non-essential,D,O43464
KLF4,Non-essential,D,O43474
OIP5,Core,D,O43482
AKR7A2,Non-essential,D,O43488
PROM1,Non-essential,D,O43490
EPB41L2,Cancer,O,O43491
TGOLN2,Non-essential,D,O43493
CACNA1G,Non-essential,D,O43497
RAD51C,Non-essential,D,O43502
LAMTOR5,Non-essential,D,O43504
B4GAT1,Non-essential,D,O43505
ADAM20,Cancer,O,O43506
TNFSF12,Non-essential,D,O43508
SLC26A4,Non-essential,D,O43511
MED7,Non-essential,D,O43513
WIPF1,Non-essential,D,O43516
ATP8B1,Non-essential,D,O43520
BCL2L11,Non-essential,D,O43521
FOXO3,Non-essential,D,O43524
KCNQ3,Non-essential,D,O43525
KCNQ2,Non-essential,D,O43526
CHST10,Non-essential,D,O43529
SMAD6,Non-essential,D,O43541
XRCC3,Non-essential,D,O43542
XRCC2,Non-essential,D,O43543
TGM5,Non-essential,D,O43548
GNRH2,Non-essential,D,O43555
SGCE,Non-essential,D,O43556
TNFSF14,Non-essential,D,O43557
FRS3,Non-essential,D,O43559
LAT,Non-essential,D,O43561
RGS14,Non-essential,D,O43566
RNF13,Cancer,O,O43567
CA12,Non-essential,D,O43570
AKAP10,Non-essential,D,O43572
SYT7,Non-essential,D,O43581
DENR,Core,D,O43583
PSTPIP1,Non-essential,D,O43586
XPOT,Non-essential,D,O43592
HR,Non-essential,D,O43593
SPRY2,Non-essential,D,O43597
DNPH1,Non-essential,D,O43598
DCX,Non-essential,D,O43602
GALR2,Non-essential,D,O43603
SPRY1,Non-essential,D,O43609
SPRY3,Non-essential,D,O43610
HCRT,Non-essential,D,O43612
HCRTR1,Non-essential,D,O43613
HCRTR2,Non-essential,D,O43614
TIMM44,Core,D,O43615
TRAPPC3,Core,B,O43617
SNAI2,Non-essential,D,O43623
CHMP2A,Core,B,O43633
FOXS1,Non-essential,D,O43638
NCK2,Non-essential,D,O43639
PSCA,Non-essential,D,O43653
TSPAN6,Non-essential,D,O43657
PLRG1,Core,D,O43660
PRC1,Core,B,O43663
RGS10,Non-essential,D,O43665
ZNF207,Core,D,O43670
NDUFB5,Non-essential,D,O43674
NDUFB3,Non-essential,D,O43676
NDUFC1,Non-essential,D,O43677
NDUFA2,Non-essential,D,O43678
LDB2,Cancer,O,O43679
TCF21,Non-essential,D,O43680
GET3,Non-essential,D,O43681
BUB1,Core,D,O43683
BUB3,Core,B,O43684
AKAP7,Non-essential,D,O43687
PLPP2,Non-essential,D,O43688
PI15,Non-essential,D,O43692
SIGLEC6,Non-essential,D,O43699
SULT1B1,Cancer,O,O43704
ACTN4,Cancer,O,O43707
GSTZ1,Non-essential,D,O43708
BUD23,Core,D,O43709
TLX3,Non-essential,D,O43711
TRIAP1,Core,D,O43715
GATC,Non-essential,D,O43716
HTATSF1,Core,D,O43719
KDELR3,Non-essential,D,O43731
TRAF3IP2,Non-essential,D,O43734
ITM2A,Non-essential,D,O43736
CYTH3,Non-essential,D,O43739
PRKAB2,Non-essential,D,O43741
CHP2,Non-essential,D,O43745
AP1G1,Non-essential,D,O43747
OR1F1,Non-essential,D,O43749
STX6,Non-essential,D,O43752
SYNGR1,Non-essential,D,O43759
SYNGR2,Non-essential,D,O43760
SYNGR3,Non-essential,D,O43761
TLX2,Non-essential,D,O43763
SGTA,Non-essential,D,O43765
LIAS,Non-essential,D,O43766
ENSA,Non-essential,D,O43768
SLC25A20,Non-essential,D,O43772
NARS1,Core,D,O43776
DYRK3,Non-essential,D,O43781
KRT86,Non-essential,D,O43790
SPOP,Non-essential,D,O43791
MYO1B,Non-essential,D,O43795
SSNA1,Non-essential,D,O43805
SLC25A17,Non-essential,D,O43808
NUDT21,Core,B,O43809
LANCL1,Non-essential,D,O43813
STRN,Non-essential,D,O43815
RRP9,Core,B,O43818
SCO2,Non-essential,D,O43819
HYAL3,Non-essential,D,O43820
CFAP410,Non-essential,D,O43822
AKAP8,Non-essential,D,O43823
GTPBP6,Non-essential,D,O43824
B3GALT2,Non-essential,D,O43825
ANGPTL7,Non-essential,D,O43827
ZBTB14,Non-essential,D,O43829
IDH3B,Non-essential,D,O43837
NRDC,Non-essential,D,O43847
CALU,Non-essential,D,O43852
EDIL3,Non-essential,D,O43854
ATP9B,Cancer,O,O43861
AHCYL1,Non-essential,D,O43865
CD5L,Non-essential,D,O43866
SLC28A2,Non-essential,D,O43868
CREB3,Non-essential,D,O43889
XPNPEP2,Non-essential,D,O43895
KIF1C,Non-essential,D,O43896
TLL1,Non-essential,D,O43897
PRICKLE3,Non-essential,D,O43900
GAS2,Non-essential,D,O43903
KLRC4,Non-essential,D,O43908
EXTL3,Cancer,O,O43909
ORC5,Non-essential,D,O43913
TYROBP,Non-essential,D,O43914
VEGFD,Non-essential,D,O43915
CHST1,Non-essential,D,O43916
AIRE,Non-essential,D,O43918
NDUFS5,Non-essential,D,O43920
EFNA2,Non-essential,D,O43921
PDE6D,Non-essential,D,O43924
CXCL13,Non-essential,D,O43927
